Ventana,Feature,bin,limite_inferior,limite_superior,n_referencia,n_produccion,E_i,A_i,contribucion_psi
W2,b_std,2,0.13042483180761338,0.1496647447347641,50,35,0.1,0.07,0.010700248318161968
W2,b_std,3,0.1496647447347641,0.16307673156261446,50,38,0.1,0.076,0.006586484296842252
W2,b_std,4,0.16307673156261446,0.1728760153055191,50,43,0.1,0.086,0.0021115204562841745
W2,b_std,5,0.1728760153055191,0.1828407123684883,50,64,0.1,0.128,0.006912082182082722
W2,b_std,6,0.1828407123684883,0.1933268040418625,50,61,0.1,0.122,0.004374718892393632
W2,b_std,7,0.1933268040418625,0.20356869399547578,50,67,0.1,0.134,0.009950766874735882
W2,b_std,8,0.20356869399547578,0.21614125072956086,50,37,0.1,0.074,0.007828732412381969
W2,b_std,9,0.21614125072956086,0.234844446182251,50,48,0.1,0.096,0.0001632879780810208
W2,b_std,10,0.234844446182251,inf,50,57,0.1,0.114,0.0018343956736896559
W2,h_mean,1,-inf,16.77193298339844,50,28,0.1,0.056,0.02551201379112946
W2,h_mean,2,16.77193298339844,27.49205322265625,50,31,0.1,0.062,0.018165360435833996
W2,h_mean,3,27.49205322265625,35.39204711914063,50,19,0.1,0.038,0.05999020962822576
W2,h_mean,4,35.39204711914063,42.54484863281251,50,48,0.1,0.096,0.0001632879780810208
W2,h_mean,5,42.54484863281251,61.645263671875,50,85,0.1,0.17,0.03714397757435193
W2,h_mean,6,61.645263671875,84.74396362304688,50,91,0.1,0.182,0.049104593089273715
W2,h_mean,7,84.74396362304688,170.9143798828126,50,88,0.1,0.176,0.04296384948780458
W2,h_mean,8,170.9143798828126,245.53928222656273,50,51,0.1,0.102,3.960525459235878e-05
W2,h_mean,9,245.53928222656273,322.25969848632815,50,28,0.1,0.056,0.02551201379112946
W2,h_mean,10,322.25969848632815,inf,50,31,0.1,0.062,0.018165360435833996
W2,s_mean,1,-inf,0.1719736486673355,50,81,0.1,0.162,0.029910421253146142
W2,s_mean,2,0.1719736486673355,0.19136615395545958,50,51,0.1,0.102,3.960525459235878e-05
W2,s_mean,3,0.19136615395545958,0.20842131823301316,50,70,0.1,0.14,0.013458889464848522
W2,s_mean,4,0.20842131823301316,0.2259362280368805,50,59,0.1,0.118,0.0029792598925963178
W2,s_mean,5,0.2259362280368805,0.24070489406585693,50,35,0.1,0.07,0.010700248318161968
W2,s_mean,6,0.24070489406585693,0.2568002998828888,50,29,0.1,0.058,0.02287854136855023
W2,s_mean,7,0.2568002998828888,0.27964905500411985,50,28,0.1,0.056,0.02551201379112946
W2,s_mean,8,0.27964905500411985,0.30471453070640564,50,48,0.1,0.096,0.0001632879780810208
W2,s_mean,9,0.30471453070640564,0.33456991612911224,50,38,0.1,0.076,0.006586484296842252
W2,s_mean,10,0.33456991612911224,inf,50,61,0.1,0.122,0.004374718892393632
W2,v_mean,1,-inf,0.4208349406719208,50,42,0.1,0.084,0.002789654194316445
W2,v_mean,2,0.4208349406719208,0.44620749950408933,50,41,0.1,0.082,0.00357211689702909
W2,v_mean,3,0.44620749950408933,0.4632623463869095,50,35,0.1,0.07,0.010700248318161968
W2,v_mean,4,0.4632623463869095,0.4752871811389923,50,27,0.1,0.054,0.028344562413495592
W2,v_mean,5,0.4752871811389923,0.48680655658245087,50,42,0.1,0.084,0.002789654194316445
W2,v_mean,6,0.48680655658245087,0.5021150827407836,50,68,0.1,0.136,0.011069449190926587
W2,v_mean,7,0.5021150827407836,0.5143605947494507,50,43,0.1,0.086,0.0021115204562841745
W2,v_mean,8,0.5143605947494507,0.5278153896331788,50,69,0.1,0.138,0.012239172968426311
W2,v_mean,9,0.5278153896331788,0.5500755429267883,50,51,0.1,0.102,3.960525459235878e-05
W2,v_mean,10,0.5500755429267883,inf,50,82,0.1,0.164,0.03166055947751085
W2,excess_green,1,-inf,0.010424436815083028,50,74,0.1,0.148,0.018818020213249124
W2,excess_green,2,0.010424436815083028,0.02415302358567715,50,59,0.1,0.118,0.0029792598925963178
W2,excess_green,3,0.02415302358567715,0.034531205892562866,50,56,0.1,0.112,0.0013599442236840364
W2,excess_green,4,0.034531205892562866,0.04600254893302918,50,33,0.1,0.066,0.014127525094696638
W2,excess_green,5,0.04600254893302918,0.05826111324131489,50,43,0.1,0.086,0.0021115204562841745
W2,excess_green,6,0.05826111324131489,0.07366726994514468,50,59,0.1,0.118,0.0029792598925963178
W2,excess_green,7,0.07366726994514468,0.0888474076986313,50,32,0.1,0.064,0.016066335694623103
W2,excess_green,8,0.0888474076986313,0.11619704812765123,50,33,0.1,0.066,0.014127525094696638
W2,excess_green,9,0.11619704812765123,0.20416659861803063,50,55,0.1,0.11,0.000953101798043247
W2,excess_green,10,0.20416659861803063,inf,50,56,0.1,0.112,0.0013599442236840364
W2,brightness_mean,1,-inf,0.3879414439201355,50,41,0.1,0.082,0.00357211689702909
W2,brightness_mean,2,0.3879414439201355,0.4062719225883484,50,34,0.1,0.068,0.012341199385983508
W2,brightness_mean,3,0.4062719225883484,0.4249329030513764,50,43,0.1,0.086,0.0021115204562841745
W2,brightness_mean,4,0.4249329030513764,0.43771331906318667,50,36,0.1,0.072,0.00919811387521702
W2,brightness_mean,5,0.43771331906318667,0.44918273389339447,50,46,0.1,0.092,0.0006670528715124097
W2,brightness_mean,6,0.44918273389339447,0.4590425491333008,50,22,0.1,0.044,0.04597491091591051
W2,brightness_mean,7,0.4590425491333008,0.47354609370231626,50,61,0.1,0.122,0.004374718892393632
W2,brightness_mean,8,0.47354609370231626,0.48861778378486637,50,74,0.1,0.148,0.018818020213249124
W2,brightness_mean,9,0.48861778378486637,0.5104796051979065,50,76,0.1,0.152,0.02177293741262561
W2,brightness_mean,10,0.5104796051979065,inf,50,67,0.1,0.134,0.009950766874735882
W2,contrast_std,1,-inf,0.09223804324865341,50,48,0.1,0.096,0.0001632879780810208
W2,contrast_std,2,0.09223804324865341,0.10476468801498413,50,29,0.1,0.058,0.02287854136855023
W2,contrast_std,3,0.10476468801498413,0.12152492478489876,50,40,0.1,0.08,0.004462871026284198
W2,contrast_std,4,0.12152492478489876,0.13437251448631288,50,41,0.1,0.082,0.00357211689702909
W2,contrast_std,5,0.13437251448631288,0.14736272394657135,50,69,0.1,0.138,0.012239172968426311
W2,contrast_std,6,0.14736272394657135,0.16511997878551485,50,83,0.1,0.166,0.03344996175631782
W2,contrast_std,7,0.16511997878551485,0.17697356194257735,50,37,0.1,0.074,0.007828732412381969
W2,contrast_std,8,0.17697356194257735,0.18868831992149357,50,45,0.1,0.09,0.001053605156578265
W2,contrast_std,9,0.18868831992149357,0.20418118685483932,50,33,0.1,0.066,0.014127525094696638
W2,contrast_std,10,0.20418118685483932,inf,50,75,0.1,0.15,0.020273255405408207
W2,laplacian_variance,1,-inf,167.83675678274594,50,131,0.1,0.26200000000000007,0.15603423947922698
W2,laplacian_variance,2,167.83675678274594,477.7067882498727,50,50,0.1,0.10000000000000002,3.081487911019577e-33
W2,laplacian_variance,3,477.7067882498727,941.0833584314213,50,40,0.1,0.08000000000000002,0.0044628710262841894
W2,laplacian_variance,4,941.0833584314213,1471.8402160900182,50,29,0.1,0.05800000000000001,0.02287854136855022
W2,laplacian_variance,5,1471.8402160900182,2807.4839777624,50,55,0.1,0.11000000000000001,0.0009531017980432502
W2,laplacian_variance,6,2807.4839777624,4128.062977877818,50,40,0.1,0.08000000000000002,0.0044628710262841894
W2,laplacian_variance,7,4128.062977877818,5288.404773068172,50,44,0.1,0.08800000000000001,0.0015340004581186181
W2,laplacian_variance,8,5288.404773068172,6669.093239500513,50,33,0.1,0.06600000000000002,0.014127525094696626
W2,laplacian_variance,9,6669.093239500513,8871.38182853125,50,36,0.1,0.07200000000000001,0.009198113875217006
W2,laplacian_variance,10,8871.38182853125,inf,50,42,0.1,0.08400000000000002,0.002789654194316438
W2,entropy,1,-inf,6.478596926649331,50,76,0.1,0.152,0.02177293741262561
W2,entropy,2,6.478596926649331,6.647863148634827,50,34,0.1,0.068,0.012341199385983508
